IMD Rank,IMD Decile,ITL1,ITL2
16063,5,London,Outer London - West and North West
6850,3,London,Outer London - West and North West
21873,7,London,Outer London - West and North West
26737,8,London,Outer London - West and North West
21521,7,London,Outer London - West and North West
26236,8,London,Outer London - West and North West
13884,5,London,Outer London - West and North West
14300,5,London,Outer London - West and North West
8415,3,London,Outer London - West and North West
5922,2,London,Outer London - West and North West
7206,3,London,Outer London - West and North West
13825,5,London,Outer London - West and North West
5926,2,London,Outer London - West and North West
17338,6,London,Outer London - West and North West
6438,2,London,Outer London - West and North West
7611,3,London,Outer London - West and North West
9483,3,London,Outer London - West and North West
5668,2,London,Outer London - West and North West
9835,3,London,Outer London - West and North West
13555,5,London,Outer London - West and North West
3978,2,London,Outer London - West and North West
7634,3,London,Outer London - West and North West
8576,3,London,Outer London - West and North West
11535,4,London,Outer London - West and North West
12165,4,London,Outer London - West and North West
10854,4,London,Outer London - West and North West
22649,7,London,Outer London - West and North West
26295,8,London,Outer London - West and North West
10455,4,London,Outer London - West and North West
10327,4,London,Outer London - West and North West
18128,6,London,Outer London - West and North West
12830,4,London,Outer London - West and North West
22102,7,London,Outer London - West and North West
24102,8,London,Outer London - West and North West
9218,3,London,Outer London - West and North West
12761,4,London,Outer London - West and North West
17443,6,London,Outer London - West and North West
15601,5,London,Outer London - West and North West
16344,5,London,Outer London - West and North West
13300,4,London,Outer London - West and North West
13923,5,London,Outer London - West and North West
6283,2,London,Outer London - West and North West
7504,3,London,Outer London - West and North West
12086,4,London,Outer London - West and North West
16391,5,London,Outer London - West and North West
14465,5,London,Outer London - West and North West
19182,6,London,Outer London - West and North West
13833,5,London,Outer London - West and North West
17498,6,London,Outer London - West and North West
16108,5,London,Outer London - West and North West
9444,3,London,Outer London - West and North West
16483,5,London,Outer London - West and North West
14494,5,London,Outer London - West and North West
17794,6,London,Outer London - West and North West
11532,4,London,Outer London - West and North West
13304,4,London,Outer London - West and North West
12182,4,London,Outer London - West and North West
12490,4,London,Outer London - West and North West
2078,1,London,Outer London - West and North West
2189,1,London,Outer London - West and North West
3403,2,London,Outer London - West and North West
238,1,London,Outer London - West and North West
4092,2,London,Outer London - West and North West
1646,1,London,Outer London - West and North West
2811,1,London,Outer London - West and North West
2393,1,London,Outer London - West and North West
9557,3,London,Outer London - West and North West
11897,4,London,Outer London - West and North West
8425,3,London,Outer London - West and North West
11129,4,London,Outer London - West and North West
8474,3,London,Outer London - West and North West
15230,5,London,Outer London - West and North West
8714,3,London,Outer London - West and North West
9403,3,London,Outer London - West and North West
17736,6,London,Outer London - West and North West
9020,3,London,Outer London - West and North West
11876,4,London,Outer London - West and North West
9686,3,London,Outer London - West and North West
9940,3,London,Outer London - West and North West
12413,4,London,Outer London - West and North West
7976,3,London,Outer London - West and North West
5702,2,London,Outer London - West and North West
15978,5,London,Outer London - West and North West
14413,5,London,Outer London - West and North West
8686,3,London,Outer London - West and North West
3303,1,London,Outer London - West and North West
3167,1,London,Outer London - West and North West
2442,1,London,Outer London - West and North West
13458,4,London,Outer London - West and North West
6844,3,London,Outer London - West and North West
14234,5,London,Outer London - West and North West
9571,3,London,Outer London - West and North West
6980,3,London,Outer London - West and North West
7262,3,London,Outer London - West and North West
10332,4,London,Outer London - West and North West
6965,3,London,Outer London - West and North West
3803,2,London,Outer London - West and North West
10848,4,London,Outer London - West and North West
3064,1,London,Outer London - West and North West
3555,2,London,Outer London - West and North West
5942,2,London,Outer London - West and North West
2008,1,London,Outer London - West and North West
7658,3,London,Outer London - West and North West
33283,10,London,Outer London - South
29255,9,London,Outer London - South
27754,9,London,Outer London - South
29761,9,London,Outer London - South
30261,9,London,Outer London - South
29177,9,London,Outer London - South
26418,8,London,Outer London - South
33018,10,London,Outer London - South
30763,10,London,Outer London - South
24704,8,London,Outer London - South
24185,8,London,Outer London - South
28870,9,London,Outer London - South
18371,6,London,Outer London - South
28456,9,London,Outer London - South
27265,9,London,Outer London - South
7794,3,London,Outer London - South
20650,7,London,Outer London - South
20236,6,London,Outer London - South
20638,7,London,Outer London - South
24184,8,London,Outer London - South
30382,10,London,Outer London - South
32196,10,London,Outer London - South
23153,7,London,Outer London - South
24527,8,London,Outer London - South
31576,10,London,Outer London - South
23611,7,London,Outer London - South
28430,9,London,Outer London - South
26689,8,London,Outer London - South
20102,6,London,Outer London - South
11702,4,London,Outer London - South
22549,7,London,Outer London - South
28623,9,London,Outer London - South
26173,8,London,Outer London - South
27711,9,London,Outer London - South
33467,10,London,Outer London - South
33121,10,London,Outer London - South
26188,8,London,Outer London - South
33676,10,London,Outer London - South
26186,8,London,Outer London - South
28549,9,London,Outer London - South
29766,9,London,Outer London - South
33108,10,London,Outer London - South
15585,5,London,Outer London - South
31428,10,London,Outer London - South
22041,7,London,Outer London - South
25469,8,London,Outer London - South
28085,9,London,Outer London - South
32410,10,London,Outer London - South
31581,10,London,Outer London - South
31159,10,London,Outer London - South
30171,9,London,Outer London - South
32302,10,London,Outer London - South
14491,5,London,Outer London - South
20949,7,London,Outer London - South
24246,8,London,Outer London - South
24694,8,London,Outer London - South
26912,8,London,Outer London - South
25856,8,London,Outer London - South
14933,5,London,Outer London - South
20540,7,London,Outer London - South
32778,10,London,Outer London - South
27389,9,London,Outer London - South
23349,7,London,Outer London - South
28740,9,London,Outer London - South
23574,7,London,Outer London - South
30202,9,London,Outer London - South
29938,9,London,Outer London - South
21318,7,London,Outer London - South
30766,10,London,Outer London - South
